cell_id,zone_id,stratum,include,x0,x1,y0,y1,img_path
slavija-centar_r02_c16,1,1,1,283,301,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c17,1,2,1,302,320,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c18,1,3,1,321,339,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c19,1,3,1,340,358,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c20,1,3,1,359,377,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c21,1,3,1,378,395,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c22,1,3,1,396,414,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c23,1,3,1,415,433,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c24,1,3,1,434,452,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c25,1,3,1,453,471,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c26,1,3,1,472,490,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c27,1,2,1,491,508,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c28,1,2,1,509,527,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c29,1,3,1,528,546,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c30,1,2,1,547,565,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c31,1,2,1,566,584,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c32,1,2,1,585,603,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c33,1,1,1,604,622,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c34,1,1,1,623,640,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c35,1,2,1,641,659,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c36,1,1,1,660,678,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c37,1,1,1,679,697,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c38,1,1,1,698,716,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c39,1,1,1,717,735,26,50,./images/slavija-centar.jpeg
slavija-centar_r02_c40,1,1,1,736,754,26,50,./images/slavija-centar.jpeg
slavija-centar_r03_c01,1,NA,0,1,18,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c02,1,NA,0,19,37,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c03,1,NA,0,38,56,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c04,1,NA,0,57,75,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c05,1,NA,0,76,94,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c06,1,NA,0,95,113,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c07,1,3,1,114,131,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c08,1,2,1,132,150,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c09,1,1,1,151,169,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c10,1,1,1,170,188,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c11,1,1,1,189,207,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c12,1,2,1,208,226,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c13,1,1,1,227,245,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c14,1,1,1,246,263,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c15,1,1,1,264,282,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c16,1,1,1,283,301,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c17,1,1,1,302,320,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c18,1,3,1,321,339,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c19,1,3,1,340,358,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c20,1,NA,0,359,377,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c21,1,3,1,378,395,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c22,1,NA,0,396,414,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c23,1,NA,0,415,433,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c24,1,3,1,434,452,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c25,1,3,1,453,471,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c26,1,3,1,472,490,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c27,1,3,1,491,508,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c28,1,2,1,509,527,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c29,1,2,1,528,546,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c30,1,2,1,547,565,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c31,1,2,1,566,584,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c32,1,2,1,585,603,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c33,1,1,1,604,622,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c34,1,1,1,623,640,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c35,1,2,1,641,659,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c36,1,1,1,660,678,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c37,1,1,1,679,697,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c38,1,1,1,698,716,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c39,1,1,1,717,735,51,75,./images/slavija-centar.jpeg
slavija-centar_r03_c40,1,1,1,736,754,51,75,./images/slavija-centar.jpeg
slavija-centar_r04_c01,1,NA,0,1,18,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c02,1,NA,0,19,37,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c03,1,NA,0,38,56,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c04,1,NA,0,57,75,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c05,1,NA,0,76,94,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c06,1,NA,0,95,113,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c07,1,3,1,114,131,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c08,1,2,1,132,150,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c09,1,1,1,151,169,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c10,1,1,1,170,188,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c11,1,1,1,189,207,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c12,1,1,1,208,226,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c13,1,1,1,227,245,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c14,1,1,1,246,263,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c15,1,1,1,264,282,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c16,1,1,1,283,301,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c17,1,2,1,302,320,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c18,1,2,1,321,339,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c19,1,2,1,340,358,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c20,1,2,1,359,377,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c21,1,3,1,378,395,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c22,1,3,1,396,414,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c23,1,NA,0,415,433,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c24,1,NA,0,434,452,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c25,1,NA,0,453,471,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c26,1,NA,0,472,490,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c27,1,NA,0,491,508,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c28,1,NA,0,509,527,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c29,1,3,1,528,546,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c30,1,3,1,547,565,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c31,1,3,1,566,584,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c32,1,3,1,585,603,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c33,1,2,1,604,622,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c34,1,2,1,623,640,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c35,1,2,1,641,659,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c36,1,2,1,660,678,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c37,1,1,1,679,697,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c38,1,1,1,698,716,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c39,1,1,1,717,735,76,101,./images/slavija-centar.jpeg
slavija-centar_r04_c40,1,1,1,736,754,76,101,./images/slavija-centar.jpeg
slavija-centar_r05_c01,1,NA,0,1,18,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c02,1,NA,0,19,37,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c03,1,NA,0,38,56,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c04,1,NA,0,57,75,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c05,1,NA,0,76,94,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c06,1,3,1,95,113,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c07,1,3,1,114,131,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c08,1,2,1,132,150,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c09,1,1,1,151,169,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c10,1,1,1,170,188,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c11,1,1,1,189,207,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c12,1,1,1,208,226,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c13,1,1,1,227,245,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c14,1,1,1,246,263,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c15,1,1,1,264,282,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c16,1,2,1,283,301,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c17,1,2,1,302,320,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c18,1,2,1,321,339,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c19,1,2,1,340,358,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c20,1,2,1,359,377,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c21,1,2,1,378,395,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c22,1,2,1,396,414,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c23,1,2,1,415,433,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c24,1,2,1,434,452,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c25,1,2,1,453,471,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c26,1,2,1,472,490,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c27,1,3,1,491,508,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c28,1,3,1,509,527,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c29,1,3,1,528,546,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c30,1,NA,0,547,565,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c31,1,NA,0,566,584,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c32,1,NA,0,585,603,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c33,1,2,1,604,622,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c34,1,2,1,623,640,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c35,1,2,1,641,659,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c36,1,2,1,660,678,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c37,1,2,1,679,697,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c38,1,1,1,698,716,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c39,1,1,1,717,735,102,126,./images/slavija-centar.jpeg
slavija-centar_r05_c40,1,1,1,736,754,102,126,./images/slavija-centar.jpeg
slavija-centar_r06_c01,1,NA,0,1,18,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c02,1,NA,0,19,37,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c03,1,NA,0,38,56,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c04,1,NA,0,57,75,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c05,1,NA,0,76,94,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c06,1,3,1,95,113,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c07,1,2,1,114,131,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c08,1,1,1,132,150,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c09,1,1,1,151,169,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c10,1,1,1,170,188,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c11,1,1,1,189,207,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c12,1,1,1,208,226,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c13,1,1,1,227,245,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c14,1,1,1,246,263,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c15,1,1,1,264,282,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c16,1,2,1,283,301,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c17,1,2,1,302,320,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c18,1,2,1,321,339,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c19,1,2,1,340,358,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c20,1,2,1,359,377,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c21,1,2,1,378,395,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c22,1,2,1,396,414,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c23,1,2,1,415,433,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c24,1,2,1,434,452,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c25,1,2,1,453,471,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c26,1,2,1,472,490,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c27,1,2,1,491,508,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c28,1,2,1,509,527,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c29,1,2,1,528,546,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c30,1,2,1,547,565,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c31,1,2,1,566,584,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c32,1,2,1,585,603,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c33,1,2,1,604,622,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c34,1,2,1,623,640,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c35,1,2,1,641,659,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c36,1,2,1,660,678,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c37,1,2,1,679,697,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c38,1,2,1,698,716,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c39,1,2,1,717,735,127,151,./images/slavija-centar.jpeg
slavija-centar_r06_c40,1,2,1,736,754,127,151,./images/slavija-centar.jpeg
slavija-centar_r07_c01,1,NA,0,1,18,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c02,1,NA,0,19,37,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c03,1,NA,0,38,56,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c04,1,NA,0,57,75,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c05,1,3,1,76,94,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c06,1,3,1,95,113,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c07,1,2,1,114,131,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c08,1,1,1,132,150,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c09,1,1,1,151,169,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c10,1,1,1,170,188,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c11,1,1,1,189,207,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c12,1,1,1,208,226,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c13,1,1,1,227,245,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c14,1,1,1,246,263,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c15,1,1,1,264,282,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c16,1,1,1,283,301,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c17,1,2,1,302,320,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c18,1,2,1,321,339,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c19,1,2,1,340,358,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c20,1,2,1,359,377,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c21,1,2,1,378,395,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c22,1,2,1,396,414,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c23,1,2,1,415,433,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c24,1,2,1,434,452,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c25,1,2,1,453,471,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c26,1,2,1,472,490,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c27,1,2,1,491,508,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c28,1,2,1,509,527,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c29,1,2,1,528,546,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c30,1,2,1,547,565,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c31,1,2,1,566,584,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c32,1,2,1,585,603,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c33,1,2,1,604,622,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c34,1,2,1,623,640,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c35,1,2,1,641,659,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c36,1,2,1,660,678,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c37,1,2,1,679,697,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c38,1,2,1,698,716,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c39,1,2,1,717,735,152,176,./images/slavija-centar.jpeg
slavija-centar_r07_c40,1,2,1,736,754,152,176,./images/slavija-centar.jpeg
slavija-centar_r08_c01,1,NA,0,1,18,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c02,1,NA,0,19,37,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c03,1,NA,0,38,56,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c04,1,NA,0,57,75,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c05,1,3,1,76,94,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c06,1,3,1,95,113,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c07,1,1,1,114,131,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c08,1,1,1,132,150,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c09,1,1,1,151,169,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c10,1,1,1,170,188,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c11,1,1,1,189,207,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c12,1,1,1,208,226,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c13,1,1,1,227,245,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c14,1,1,1,246,263,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c15,1,1,1,264,282,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c16,1,2,1,283,301,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c17,1,2,1,302,320,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c18,1,2,1,321,339,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c19,1,2,1,340,358,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c20,1,2,1,359,377,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c21,1,2,1,378,395,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c22,1,2,1,396,414,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c23,1,2,1,415,433,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c24,1,2,1,434,452,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c25,1,2,1,453,471,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c26,1,2,1,472,490,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c27,1,2,1,491,508,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c28,1,2,1,509,527,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c29,1,2,1,528,546,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c30,1,2,1,547,565,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c31,1,2,1,566,584,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c32,1,2,1,585,603,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c33,1,2,1,604,622,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c34,1,2,1,623,640,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c35,1,2,1,641,659,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c36,1,2,1,660,678,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c37,1,2,1,679,697,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c38,1,3,1,698,716,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c39,1,3,1,717,735,177,202,./images/slavija-centar.jpeg
slavija-centar_r08_c40,1,3,1,736,754,177,202,./images/slavija-centar.jpeg
slavija-centar_r09_c01,1,NA,0,1,18,203,227,./images/slavija-centar.jpeg
slavija-centar_r09_c02,1,NA,0,19,37,203,227,./images/slavija-centar.jpeg
slavija-centar_r09_c03,1,NA,0,38,56,203,227,./images/slavija-centar.jpeg
slavija-centar_r09_c04,1,NA,0,57,75,203,227,./images/slavija-centar.jpeg
slavija-centar_r09_c05,1,3,1,76,94,203,227,./images/slavija-centar.jpeg
slavija-centar_r09_c06,1,2,1,95,113,203,227,./images/slavija-centar.jpeg
slavija-centar_r09_c07,1,1,1,114,131,203,227,./images/slavija-centar.jpeg
slavija-centar_r09_c08,1,1,1,132,150,203,227,./images/slavija-centar.jpeg
slavija-centar_r09_c09,1,1,1,151,169,203,227,./images/slavija-centar.jpeg
slavija-centar_r09_c10,1,1,1,170,188,203,227,./images/slavija-centar.jpeg
